Date,Price
2023-07,82.1565
2023-08,82.8122
2023-09,83.07
2023-10,83.2162
2023-11,83.266
2023-12,83.254
2024-01,83.1119
2024-02,82.9485
2024-03,83.0214
2024-04,83.3968
2024-05,83.3873
2024-06,83.46
2024-07,83.5895
2024-08,83.8855
2024-09,83.791
2024-10,84.005
2024-11,84.3326
2024-12,84.9686
2025-01,86.2652
2025-02,87.0637
2025-03,86.5214
2025-04,85.5768
2025-05,85.2462
2025-06,85.8765
2025-07,86.1714
