Date,Price
01-11-08,48.8517
01-12-08,48.5132
01-01-09,48.6995
01-02-09,49.2484
01-03-09,51.1291
01-04-09,49.9655
01-05-09,48.51
01-06-09,47.6736
01-07-09,48.3624
01-08-09,48.2426
01-09-09,48.2924
01-10-09,46.6524
01-11-09,46.5305
01-12-09,46.5273
01-01-10,45.8944
01-02-10,46.2732
01-03-10,45.4509
01-04-10,44.444
01-05-10,45.769
01-06-10,46.4983
01-07-10,46.7617
01-08-10,46.4605
01-09-10,45.8729
01-10-10,44.354
01-11-10,44.9315
01-12-10,45.1
01-01-11,45.375
01-02-11,45.3795
01-03-11,44.9143
01-04-11,44.301
01-05-11,44.9024
01-06-11,44.8109
01-07-11,44.396
01-08-11,45.3135
01-09-11,47.6905
01-10-11,49.202
01-11-11,50.6785
01-12-11,52.3824
01-01-12,51.0015
01-02-12,49.1812
01-03-12,50.3635
01-04-12,51.69
01-05-12,54.3314
01-06-12,55.9424
01-07-12,55.4248
01-08-12,55.4935
01-09-12,54.35
01-10-12,53.0995
01-11-12,54.7845
01-12-12,54.647
01-01-13,54.229
01-02-13,53.8079
01-03-13,54.4229
01-04-13,54.3236
01-05-13,54.9845
01-06-13,58.3835
01-07-13,59.7609
01-08-13,62.8109
01-09-13,63.648
01-10-13,61.6059
01-11-13,62.5179
01-12-13,61.811
01-01-14,62.1057
01-02-14,62.1642
01-03-14,60.9476
01-04-14,60.3464
01-05-14,59.2843
01-06-14,59.7367
01-07-14,60.0956
01-08-14,60.8738
01-09-14,60.8976
01-10-14,61.3668
01-11-14,61.6828
01-12-14,62.7071
01-01-15,62.13
01-02-15,61.9905
01-03-15,62.4805
01-04-15,62.6414
01-05-15,63.715
01-06-15,63.7809
01-07-15,63.6045
01-08-15,65.0971
01-09-15,66.1667
01-10-15,65.0262
01-11-15,66.1
01-12-15,66.5023
01-01-16,67.3332
01-02-16,68.2395
01-03-16,66.8909
01-04-16,66.4219
01-05-16,66.8895
01-06-16,67.2655
01-07-16,67.158
01-08-16,66.9035
01-09-16,66.7138
01-10-16,66.7415
01-11-16,67.6395
01-12-16,67.8052
01-01-17,68.0474
01-02-17,66.9726
01-03-17,65.8009
01-04-17,64.536
01-05-17,64.4195
01-06-17,64.4482
01-07-17,64.424
01-08-17,63.9683
01-09-17,64.4775
01-10-17,65.0357
01-11-17,64.8435
01-12-17,64.2445
01-01-18,63.6452
01-02-18,64.43
01-03-18,65.0455
01-04-18,65.6729
01-05-18,67.51
01-06-18,67.79
01-07-18,68.6867
01-08-18,69.6317
01-09-18,72.2779
01-10-18,73.5609
01-11-18,71.738
01-12-18,70.8331
01-01-19,70.71
01-02-19,71.1739
01-03-19,69.4895
01-04-19,69.4068
01-05-19,69.7827
01-06-19,69.388
01-07-19,68.7391
01-08-19,71.1891
01-09-19,71.311
01-10-19,71.0086
01-11-19,71.4942
01-12-19,71.1567
01-01-20,71.279
01-02-20,71.5295
01-03-20,74.5482
01-04-20,76.1682
01-05-20,75.6575
01-06-20,75.7077
01-07-20,74.9286
01-08-20,74.5657
01-09-20,73.5233
01-10-20,73.5648
01-11-20,74.2311
01-12-20,73.6195
01-01-21,73.1106
01-02-21,72.8053
01-03-21,72.8196
01-04-21,74.5186
01-05-21,73.2065
01-06-21,73.5782
01-07-21,74.539
01-08-21,74.1155
01-09-21,73.6357
01-10-21,74.92
01-11-21,74.477
01-12-21,75.3948
01-01-22,74.4075
01-02-22,74.9695
01-03-22,76.1896
01-04-22,76.1719
01-05-22,77.2933
01-06-22,78.09
01-07-22,79.5915
01-08-22,79.5065
01-09-22,80.2538
01-10-22,82.2915
01-11-22,81.6805
01-12-22,82.4738
01-01-23,81.741
01-02-23,82.5995
01-03-23,82.2665
01-04-23,81.9685
01-05-23,82.2977
01-06-23,82.2252
01-07-23,82.1565
01-08-23,82.8122
01-09-23,83.07
01-10-23,83.2162
01-11-23,83.266
01-12-23,83.254
01-01-24,83.1119
01-02-24,82.9485
01-03-24,83.0214
01-04-24,83.3968
01-05-24,83.3873
01-06-24,83.46
01-07-24,83.5895
01-08-24,83.8855
01-09-24,83.791
01-10-24,84.005
01-11-24,84.3326
01-12-24,84.9686
01-01-25,86.2652
01-02-25,87.0637
01-03-25,86.5214
01-04-25,85.5768
01-05-25,85.2462
01-06-25,85.8765
01-07-25,86.1714
