date,oil_price,oil_log_price,oil_log_return,gold_price,gold_log_price,gold_log_return
1987-06,18.86,2.937043277205311,0.014957543819619001,449.59,6.108336056339242,-0.02339030818554999
1987-07,19.86,2.9887076586170265,0.051664381411715254,450.52,6.110402471179496,0.0020664148402538274
1987-08,18.98,2.9433857931817817,-0.045321865435244746,461.15,6.133723369681728,0.023320898502231735
1987-09,18.31,2.907447358686419,-0.0359384344953626,460.38,6.132052235417629,-0.0016711342640984839
1987-10,18.76,2.9317269435780786,0.02427958489165949,465.35,6.14278981063172,0.010737575214090356
1987-11,17.78,2.8780742300857587,-0.053652713492319926,467.57,6.147549070140252,0.004759259508532843
1987-12,17.05,2.8361502037295256,-0.041924026356233046,486.24,6.186702329168483,0.039153259028230636
1988-01,16.75,2.8183982582710754,-0.01775194545845027,476.58,6.1666355998730955,-0.020066729295387553
1988-02,15.73,2.7555697170701863,-0.0628285412008891,442.07,6.091468240579053,-0.07516735929404295
1988-03,14.73,2.689886230474539,-0.06568348659564727,443.61,6.094945798053506,0.003477557474453441
1988-04,16.6,2.8094026953624978,0.11951646488795875,451.55,6.112686108696808,0.01774031064330206
1988-05,16.31,2.7917784166329223,-0.017624278729575504,451.07,6.111622538101768,-0.00106357059503992
1988-06,15.54,2.7434173449395014,-0.048361071693420854,451.33,6.1121987792524655,0.0005762411506973208
1988-07,14.91,2.702032128776647,-0.04138521616285429,437.63,6.081373804516616,-0.03082497473584933
1988-08,14.89,2.7006898466959175,-0.0013422820807296176,431.28,6.066757531143414,-0.014616273373202482
1988-09,13.18,2.578700529074361,-0.12198931762155629,413.46,6.024560774597171,-0.04219675654624222
1988-10,12.41,2.5185025992165158,-0.060197929857845445,406.78,6.008272498757349,-0.016288275839822397
1988-11,13.02,2.5664866367804233,0.04798403756390757,420.17,6.040659391288174,0.03238689253082505
1988-12,15.31,2.7285062096695922,0.1620195728891689,419.05,6.037990244544916,-0.002669146743258466
1989-01,17.17,2.843163674909384,0.11465746523979181,404.01,6.0014396301300605,-0.036550614414855076
1989-02,16.89,2.826721730819709,-0.016441944089675253,387.51,5.959741654912034,-0.04169797521802643
1989-03,18.7,2.928523523860541,0.10180179304083214,390.15,5.96653128056277,0.006789625650736042
1989-04,20.32,3.011605622710281,0.08308209884974005,384.4,5.951683677096137,-0.01484760346663272
1989-05,18.63,2.924773184613497,-0.08683243809678398,371.05,5.916336824416143,-0.03534685267999471
1989-06,17.67,2.871868286331605,-0.05290489828189182,367.6,5.906995390481532,-0.009341433934610954
1989-07,17.62,2.8690346205080335,-0.002833665823571696,375.04,5.927032686948593,0.020037296467060983
1989-08,16.77,2.8195915758351173,-0.04944304467291616,365.14,5.9002808416853645,-0.02675184526322827
1989-09,17.77,2.87751164216656,0.057920066331442754,361.75,5.890953365511593,-0.009327476173771387
1989-10,18.91,2.9396908826703663,0.06217924050380619,366.88,5.905034819109594,0.014081453598000948
1989-11,18.73,2.930126516455997,-0.00956436621436918,394.26,5.977010590137832,0.07197577102823782
1989-12,19.84,2.987700101856727,0.057573585400729765,409.39,6.0146682469396175,0.03765765680178568
1990-01,21.25,3.056356895370426,0.06865679351369902,410.11,6.016425416397235,0.0017571694576172803
1990-02,19.81,2.9861868607104594,-0.07017003465996652,416.81,6.032630482473802,0.016205066076567576
1990-03,18.39,2.91180703861623,-0.07437982209422955,393.06,5.97396227197184,-0.05866821050196247
1990-04,16.61,2.8100049236252036,-0.1018021149910262,374.24,5.924897302835869,-0.049064969135971026
1990-05,16.35,2.7942278973432626,-0.015777026281940998,369.05,5.910932136216061,-0.013965166619807512
1990-06,15.1,2.714694743820879,-0.07953315352238377,352.33,5.864568236419437,-0.04636389979662425
1990-07,17.17,2.843163674909384,0.1284689310885052,362.53,5.893107229491114,0.02853899307167662
1990-08,27.17,3.3021134234382563,0.45894974852887227,394.73,5.978201986874404,0.08509475738329009
1990-09,34.9,3.5524868292083815,0.25037340577012523,389.32,5.964401627558293,-0.0138003593161109
1990-10,36.02,3.58407433974781,0.03158751053942854,380.74,5.942116727477643,-0.022284900080649983
1990-11,33.07,3.4986265269937014,-0.08544781275410873,381.73,5.944713552418529,0.002596824940885867
1990-12,28.27,3.341801171705499,-0.1568253552882024,376.95,5.932112552657711,-0.012600999760818077
1991-01,23.57,3.1599747169480397,-0.1818264547574593,383.64,5.94970461285975,0.017592060202039406
1991-02,19.54,2.972463646614637,-0.18751107033340286,363.83,5.896686725575843,-0.05301788728390733
1991-03,19.08,2.9486406660201405,-0.02382298059449628,363.34,5.895339035010599,-0.0013476905652440863
1991-04,19.18,2.953868069455292,0.005227403435151601,358.38,5.8815938759722695,-0.013745159038329291
1991-05,19.19,2.9543893100196086,0.0005212405643164608,356.95,5.87759571594847,-0.003998160023799713
1991-06,18.17,2.89977188240808,-0.05461742761152877,366.72,5.9045986140863205,0.027002898137850728
1991-07,19.4,2.9652730660692823,0.0655011836612025,367.69,5.907240191853642,0.0026415777673216567
1991-08,19.77,2.9841656371825254,0.01889257111324305,356.31,5.875801138454259,-0.031439053399383354
1991-09,20.5,3.0204248861443626,0.03625924896183719,348.74,5.854326658889348,-0.021474479564910887
1991-10,22.21,3.100542637906336,0.08011775176197355,358.69,5.882458505699668,0.02813184681031977
1991-11,21.11,3.0497468618602293,-0.050795776046106855,360.17,5.8865761422105525,0.0041176365108848145
1991-12,18.41,2.9128939952449864,-0.13685286661524287,361.73,5.890898077182945,0.00432193497239286
1992-01,18.16,2.8992213731731473,-0.013672622071839058,354.45,5.870567292301026,-0.020330784881918973
1992-02,18.05,2.89314568477889,-0.006075688394257206,353.91,5.869042643521861,-0.0015246487791653607
1992-03,17.63,2.869601996409779,-0.023543688369111138,344.34,5.841629541348326,-0.027413102173534654
1992-04,18.92,2.9402195636237325,0.07061756721395351,338.62,5.824878534700086,-0.016751006648240363
1992-05,19.89,2.9902170928658807,0.049997529242148175,337.24,5.820794843054475,-0.004083691645610621
1992-06,21.16,3.052112606990099,0.06189551412421812,340.81,5.831325137247676,0.010530294193200618
1992-07,20.24,3.0076608444192647,-0.04445176257083405,352.72,5.865674541049683,0.034349403802006684
1992-08,19.74,2.9826470340053355,-0.02501381041392925,343.06,5.837905358981679,-0.027769182068003495
1992-09,20.27,3.0091419604639085,0.026494926458572987,345.43,5.84479001776017,0.00688465877849076
1992-10,20.26,3.0086484988205373,-0.0004934616433711625,344.38,5.841745698858039,-0.0030443189021305272
1992-11,19.21,2.955430976780465,-0.05321752204007213,335.02,5.814190231535541,-0.027555467322498473
1992-12,18.14,2.8981194446869907,-0.057311532093474504,334.82,5.813593073987639,-0.0005971575479017943
1993-01,17.39,2.855895328366192,-0.04222411632079881,329.01,5.796088145440227,-0.017504928547412035
1993-02,18.47,2.9161477942111484,0.06025246584495658,329.31,5.796999556367335,0.0009114109271077808
1993-03,18.79,2.933324813425374,0.017177019214225542,330.08,5.799335049322941,0.002335492955606533
1993-04,18.67,2.9269179575536315,-0.006406855871742501,342.15,5.835249237398506,0.0359141880755649
1993-05,18.51,2.9183111265854063,-0.008606830968225232,367.18,5.90585219103206,0.07060295363355351
1993-06,17.65,2.8707357833793057,-0.04757534320610057,371.89,5.918598111620868,0.012745920588808524
1993-07,16.78,2.8201877010390604,-0.050548082340245326,392.19,5.971746416241879,0.05314830462101039
1993-08,16.7,2.8154087194227095,-0.004778981616350819,378.84,5.9371139523579,-0.03463246388397856
1993-09,16.01,2.7732135270086236,-0.04219519241408598,355.28,5.872906210983847,-0.06420774137405338
1993-10,16.61,2.8100049236252036,0.03679139661658004,364.18,5.897648250903697,0.024742039919850356
1993-11,15.2,2.7212954278522306,-0.08870949577297305,373.83,5.923801148622886,0.026152897719188495
1993-12,13.73,2.6195832197798796,-0.10171220807235093,383.3,5.948817972386509,0.025016823763623464
1994-01,14.29,2.659559991941776,0.039976772161896434,386.88,5.958114567426428,0.009296595039918643
1994-02,13.8,2.624668592163159,-0.03489139977861688,381.91,5.945184978753801,-0.012929588672626835
1994-03,13.82,2.626116818339524,0.001448226176364642,384.13,5.9509810369620935,0.005796058208292543
1994-04,15.23,2.7232671669070703,0.09715034856754645,377.27,5.932961111484582,-0.0180199254775113
1994-05,16.19,2.784393767689544,0.06112660078247378,381.43,5.9439273476503205,0.01096623616573833
1994-06,16.76,2.818995095053937,0.03460132736439281,385.64,5.954904291796179,0.010976944145858702
1994-07,17.6,2.8678989020441064,0.048903806990169496,385.49,5.954515252329704,-0.0003890394664756158
1994-08,16.89,2.826721730819709,-0.04117717122439757,380.36,5.941118172671244,-0.01339707965845971
1994-09,15.9,2.766319109226186,-0.06040262159352272,391.58,5.970189836829127,0.029071664157883426
1994-10,16.49,2.8027541365715076,0.03643502734532156,389.77,5.965556821566797,-0.004633015262330176
1994-11,17.19,2.844327819394758,0.04157368282325047,384.39,5.951657662189595,-0.01389915937720243
1994-12,15.93,2.768204123921957,-0.07612369547280107,379.29,5.938301083991916,-0.013356578197678992
