date,DCC_Oil_Gold
1988-01-01,0.19227037488097048
1989-01-01,0.22572272206484062
1990-01-01,0.10194429342977794
1991-01-01,0.1632345376148425
1992-01-01,0.2352609742586972
1993-01-01,0.20557263276682264
1994-01-01,0.18792086741726588
1995-01-01,0.1844044106840325
1996-01-01,0.1878643081319664
1997-01-01,0.17617782763748735
1998-01-01,0.2256820023637226
1999-01-01,0.31227778674118517
2000-01-01,0.11305146167286918
2001-01-01,0.13432438254220302
2002-01-01,0.21886697327508975
2003-01-01,0.18437517861948485
2004-01-01,0.21222867118110036
2005-01-01,0.22468972450939254
2006-01-01,0.21016956307028262
2007-01-01,0.23462492182174144
2008-01-01,0.20181839055501805
2009-01-01,0.26501958836133543
2010-01-01,0.10555865869290677
2011-01-01,0.25390467479020723
2012-01-01,0.2841948879515694
2013-01-01,0.19048128364098818
2014-01-01,0.20152270122973887
2015-01-01,0.22132230262656355
2016-01-01,0.3058842409910268
2017-01-01,0.17378419233806888
2018-01-01,0.17580950017787395
2019-01-01,0.17078401045397543
2020-01-01,0.17477890130231044
2021-01-01,0.0017250480270175179
2022-01-01,0.15085166297243877
2023-01-01,0.15770795970987056
2024-01-01,0.17148068544970194
