Unnamed: 0,Parameter,Estimate
0,C11,0.1
1,C12,0.0
2,C22,0.1
3,A11,0.1
4,A12,0.0
5,A21,0.0
6,A22,0.1
7,B11,0.8
8,B12,0.0
9,B21,0.0
10,B22,0.8
