date,DCC_Oil_Gold
1987-06-01,0.14412129717726774
1987-07-01,0.14129670269822783
1987-08-01,0.14027763905964002
1987-09-01,0.12997305317837637
1987-10-01,0.13205124733663676
1987-11-01,0.13368872563026568
1987-12-01,0.1322790231923472
1988-01-01,0.11390558498342451
1988-02-01,0.11953588407832398
1988-03-01,0.1613588484937141
1988-04-01,0.15932367775111864
1988-05-01,0.16576000760975926
1988-06-01,0.16528454530687114
1988-07-01,0.1646584161784995
1988-08-01,0.17471584621795272
1988-09-01,0.1739308413255652
1988-10-01,0.2164659883068853
1988-11-01,0.21869379598091968
1988-12-01,0.2221171809851177
1989-01-01,0.201876656824274
1989-02-01,0.17348900021067784
1989-03-01,0.1749338826705649
1989-04-01,0.1731139203818991
1989-05-01,0.1615012020806512
1989-06-01,0.18202865357072973
1989-07-01,0.18417356088139486
1989-08-01,0.18068465883563084
1989-09-01,0.19191992850418602
1989-10-01,0.18333144655244002
1989-11-01,0.1855848719397784
1989-12-01,0.16469144038432804
1990-01-01,0.17483180483978866
1990-02-01,0.17161569592613687
1990-03-01,0.16148986228223292
1990-04-01,0.1885108095033304
1990-05-01,0.21305710715252948
1990-06-01,0.21147863468504918
1990-07-01,0.23352692999082256
1990-08-01,0.24152975874538443
1990-09-01,0.3450926240945228
1990-10-01,0.33101697257236123
1990-11-01,0.32143592744422445
1990-12-01,0.31106625064778054
1991-01-01,0.31023932272975924
1991-02-01,0.28832286582961475
1991-03-01,0.30978290150351284
1991-04-01,0.30383851699938186
1991-05-01,0.2970935526380939
1991-06-01,0.2912575042928265
1991-07-01,0.2697214074090172
1991-08-01,0.2631087682483247
1991-09-01,0.25118155188313357
1991-10-01,0.23835880871259812
1991-11-01,0.24610948472211205
1991-12-01,0.24054527464004097
1992-01-01,0.22857379945544207
1992-02-01,0.22597039779098382
1992-03-01,0.22290867960812283
1992-04-01,0.22552564263177327
1992-05-01,0.2073817666483633
1992-06-01,0.20123879754804272
1992-07-01,0.20124696547697724
1992-08-01,0.18097027222537926
