date,oil_log_price,gold_log_price
1987-07-01,0.051664381411715254,0.0020664148402538274
1987-08-01,-0.045321865435244746,0.023320898502231735
1987-09-01,-0.0359384344953626,-0.0016711342640984839
1987-10-01,0.02427958489165949,0.010737575214090356
1987-11-01,-0.053652713492319926,0.004759259508532843
1987-12-01,-0.041924026356233046,0.039153259028230636
1988-01-01,-0.017751945458449825,-0.020066729295386665
1988-02-01,-0.06282854120088954,-0.07516735929404383
1988-03-01,-0.06568348659564727,0.003477557474453441
1988-04-01,0.11951646488795875,0.01774031064330206
1988-05-01,-0.017624278729575504,-0.00106357059503992
1988-06-01,-0.048361071693420854,0.0005762411506973208
1988-07-01,-0.04138521616285429,-0.03082497473584933
1988-08-01,-0.0013422820807300617,-0.014616273373202482
1988-09-01,-0.12198931762155585,-0.04219675654624222
1988-10-01,-0.060197929857845,-0.016288275839822397
1988-11-01,0.04798403756390757,0.03238689253082505
1988-12-01,0.16201957288916802,-0.002669146743258466
1989-01-01,0.11465746523979226,-0.036550614414855076
1989-02-01,-0.016441944089675253,-0.04169797521802643
1989-03-01,0.10180179304083214,0.006789625650736042
1989-04-01,0.08308209884974005,-0.01484760346663272
1989-05-01,-0.08683243809678398,-0.03534685267999471
1989-06-01,-0.05290489828189182,-0.009341433934610954
1989-07-01,-0.00283366582357214,0.020037296467060983
1989-08-01,-0.049443044672915715,-0.02675184526322827
1989-09-01,0.057920066331442754,-0.009327476173771387
1989-10-01,0.06217924050380619,0.014081453598000948
1989-11-01,-0.00956436621436918,0.07197577102823782
1989-12-01,0.057573585400729765,0.03765765680178568
1990-01-01,0.06865679351369902,0.0017571694576172803
1990-02-01,-0.07017003465996607,0.016205066076567576
1990-03-01,-0.07437982209423,-0.05866821050196247
1990-04-01,-0.10180211499102576,-0.049064969135971026
1990-05-01,-0.015777026281941442,-0.013965166619807512
1990-06-01,-0.07953315352238377,-0.04636389979662425
1990-07-01,0.1284689310885052,0.02853899307167662
1990-08-01,0.45894974852887227,0.08509475738329009
1990-09-01,0.2503734057701248,-0.0138003593161109
1990-10-01,0.03158751053942899,-0.022284900080649983
1990-11-01,-0.08544781275410873,0.002596824940885867
1990-12-01,-0.1568253552882024,-0.012600999760818077
1991-01-01,-0.18182645475745884,0.017592060202039406
1991-02-01,-0.1875110703334033,-0.05301788728390733
1991-03-01,-0.02382298059449628,-0.0013476905652440863
1991-04-01,0.005227403435151601,-0.013745159038329291
1991-05-01,0.0005212405643164608,-0.003998160023799713
1991-06-01,-0.05461742761152877,0.027002898137850728
1991-07-01,0.0655011836612025,0.0026415777673216567
1991-08-01,0.01889257111324305,-0.031439053399383354
1991-09-01,0.03625924896183719,-0.021474479564910887
1991-10-01,0.08011775176197355,0.02813184681031977
1991-11-01,-0.050795776046106855,0.0041176365108848145
1991-12-01,-0.13685286661524287,0.00432193497239286
1992-01-01,-0.013672622071838614,-0.020330784881918973
1992-02-01,-0.00607568839425765,-0.0015246487791653607
1992-03-01,-0.023543688369111138,-0.027413102173534654
1992-04-01,0.07061756721395351,-0.016751006648240363
1992-05-01,0.049997529242148175,-0.004083691645610621
1992-06-01,0.06189551412421812,0.010530294193200618
1992-07-01,-0.04445176257083405,0.034349403802006684
1992-08-01,-0.02501381041392925,-0.027769182068003495
1992-09-01,0.026494926458572987,0.00688465877849076
1992-10-01,-0.0004934616433711625,-0.0030443189021305272
1992-11-01,-0.05321752204007213,-0.027555467322498473
1992-12-01,-0.057311532093474504,-0.0005971575479017943
1993-01-01,-0.04222411632079881,-0.017504928547412035
