Date,oil_usd_ret,gold_usd_ret,usd_inr_ret,oil_inr_ret,gold_inr_ret
1987-06-01,0.08640497532323911,0.029866444843842335,0.015567121305290288,0.08735783719121443,0.03182950640589009
1987-07-01,0.0691058523620348,0.03024813832903333,0.015082627065245659,0.07168185650008242,0.03219390576749228
1987-08-01,0.07555213786608522,0.029053584339723625,0.014766435603630564,0.07931526723827881,0.03200480770352739
1987-09-01,0.07743865948637292,0.02900091162234268,0.01367219281672963,0.07811198842624029,0.03251142950275708
1987-10-01,0.07471151362059196,0.028161881274085983,0.013370689434327503,0.07903552949500608,0.03248619923653314
1987-11-01,0.06994461025467813,0.027598012472495305,0.012550907841393432,0.07165406331064642,0.03213456206463535
1987-12-01,0.08021605818301178,0.02706066753249529,0.012366298403584877,0.0842935436604487,0.03197759800827672
1988-01-01,0.07639972548361404,0.029456517649145683,0.011978062355513353,0.07958253945521115,0.03306266405912767
1988-02-01,0.0708072479510259,0.029609946606822233,0.011816685773821497,0.07198446938399741,0.0329589857980973
1988-03-01,0.08362133725807044,0.03965321084834559,0.011377242695107532,0.08493522921826406,0.0412481264092827
1988-04-01,0.08474837131348391,0.03638173252338077,0.011702506042223969,0.08930331448361205,0.03717177946168637
1988-05-01,0.10378834958849191,0.03416814612555338,0.012447434269909899,0.10717372766023363,0.035466882478969286
1988-06-01,0.07078685520102539,0.03210245104379804,0.012652826640196525,0.07154436260182881,0.033707700736024464
1988-07-01,0.0784150187683428,0.030483172228542018,0.018925875911402115,0.07251733656885041,0.033880179836139224
1988-08-01,0.07624022610043513,0.031586023543957155,0.018854689114145277,0.0736050167508123,0.03327193497167774
1988-09-01,0.0690529765566955,0.0307233029397385,0.017105182291092574,0.0707491365828676,0.03272310964412647
1988-10-01,0.11177231301766745,0.03346078817206418,0.01716065990465745,0.10288060719512784,0.0336360549566077
1988-11-01,0.0826103764781659,0.03225869498305493,0.016614949848726808,0.07945889806253291,0.03278145354903899
1988-12-01,0.07454799275265633,0.0322320347305358,0.01636011253384329,0.07910566029365615,0.03479073533053157
1989-01-01,0.12709203918821346,0.030640145767567167,0.014817256310560202,0.12395962041559198,0.033383604509213544
1989-02-01,0.10131772256194736,0.03250713205926027,0.013678130818778654,0.10061460458939799,0.0348450437189999
1989-03-01,0.07060288036779147,0.03458880521991057,0.013222186987415317,0.0716463674160921,0.03562559628237224
1989-04-01,0.09503575004879401,0.03241459721985005,0.013672614057379207,0.09924080782978859,0.03407050355013602
1989-05-01,0.08668302312961583,0.031363092933682266,0.01422634060549153,0.09157198669159224,0.032980329979398475
1989-06-01,0.09395208259689358,0.03283009261672373,0.016481167515277874,0.08560805007051682,0.03287064249535221
1989-07-01,0.07995399270068952,0.03134559874850064,0.016841712763803984,0.0764243810932592,0.03227613984442523
1989-08-01,0.06913853751950293,0.030451918681454304,0.015204990448281797,0.07130501703621323,0.032181171585783055
1989-09-01,0.07877301260224767,0.031051001789026367,0.014576864741335537,0.07756089852248496,0.03269367269793841
1989-10-01,0.07741821822295544,0.029992873247638756,0.01371491636285461,0.07955531021772409,0.03228976669233891
1989-11-01,0.07879731661825592,0.029099272823466207,0.012828379709685768,0.07971222292792612,0.032140089288604165
1989-12-01,0.06971049833584633,0.03703332852875127,0.012272419248208032,0.07132569368760674,0.038971166841555285
1990-01-01,0.07730980658965408,0.03634897127062998,0.011730180706349149,0.07727171457655495,0.036974198562830386
1990-02-01,0.08105187782963105,0.03377420087216982,0.011314519262887617,0.08093081679624535,0.034562765591423
1990-03-01,0.08657943938360607,0.03207570983914349,0.011015686075763328,0.08785816515269047,0.033346095544106814
1990-04-01,0.08836060459893387,0.037402437697810514,0.011074755397537469,0.08720450354920978,0.03749601224741209
1990-05-01,0.10122110134088858,0.03916876453439444,0.011471675200163898,0.09751200668105701,0.03780850102650728
1990-06-01,0.07050330744102509,0.03650475410221895,0.011127739912099338,0.07257189021435341,0.03557442364438213
1990-07-01,0.09061870254932279,0.038104323116001704,0.010998251029200897,0.08998909032700582,0.03707993160913345
