Caused,Causing,F-stat,p-value
y1,"y2, y3, y4, y5",1.2291198233007723,0.27498347159187775
y2,"y1, y3, y4, y5",0.6043183471958521,0.8336710345312655
y3,"y1, y2, y4, y5",1.0266184947434607,0.43133701431930926
y4,"y1, y2, y3, y5",1.0117515005566344,0.44456769812486396
y5,"y1, y2, y3, y4",0.9312981334407077,0.5195093949386567
