Cointegration Rank,Trace Statistic,Trace 5% Critical,Max-Eigen Statistic,Max-Eigen 5% Critical
0,1998.667106707771,69.8189,1972.301287520314,33.8777
1,26.36581918745687,47.8545,14.554535534803865,27.5858
2,11.811283652653007,29.7961,11.196823186493772,21.1314
3,0.6144604661592362,15.4943,0.3722647197833191,14.2639
4,0.24219574637591712,3.8415,0.24219574637591712,3.8415
