Date,oil_usd_ret,gold_usd_ret,usd_inr_ret,oil_inr_ret,gold_inr_ret
1987-06-01,0.014957543819619001,-0.02339030818554999,0.01339480792301595,0.02835235174263495,-0.009995500262533596
1987-07-01,0.051664381411715254,0.0020664148402538274,0.013602072812651578,0.06526645422436772,0.015668487652904517
1987-08-01,-0.045321865435244746,0.023320898502231735,0.005563701712504532,-0.039758163722740214,0.028884600214736267
1987-09-01,-0.0359384344953626,-0.0016711342640984839,-0.007047980552559618,-0.04298641504792222,-0.008719114816658546
1987-10-01,0.02427958489165949,0.010737575214090356,0.0038100844211155227,0.028089669312774568,0.01454765963520721
1987-11-01,-0.053652713492319926,0.004759259508532843,-0.005443027084107044,-0.05909574057642697,-0.0006837675755750894
1987-12-01,-0.041924026356233046,0.039153259028230636,-0.0029027372485077585,-0.044826763604740805,0.03625052177972243
1988-01-01,-0.01775194545845027,-0.020066729295387553,0.008085052126739711,-0.009666893331710114,-0.011981677168646954
1988-02-01,-0.0628285412008891,-0.07516735929404295,0.0019536867674840863,-0.06087485443340501,-0.07321367252655797
1988-03-01,-0.06568348659564727,0.003477557474453441,-0.006596527542801933,-0.07228001413844964,-0.0031189700683498245
1988-04-01,0.11951646488795875,0.01774031064330206,0.013659167015148466,0.13317563190310722,0.03139947765845008
1988-05-01,-0.017624278729575504,-0.00106357059503992,0.01194425172599356,-0.0056800270035815,0.010880681130954528
1988-06-01,-0.048361071693420854,0.0005762411506973208,0.034702540530561876,-0.013658531162859866,0.03527878168125831
1988-07-01,-0.04138521616285429,-0.03082497473584933,0.02107350803423902,-0.020311708128614825,-0.009751466701608535
1988-08-01,-0.0013422820807296176,-0.014616273373202482,0.009718592917844493,0.008376310837114431,-0.004897680455359321
1988-09-01,-0.12198931762155629,-0.04219675654624222,0.018985817527419346,-0.10300350009413695,-0.02321093901882243
1988-10-01,-0.060197929857845445,-0.016288275839822397,0.015782864119749718,-0.04441506573809484,-0.0005054117200717911
1988-11-01,0.04798403756390757,0.03238689253082505,0.01657384835743647,0.06455788592134315,0.04896074088826019
1988-12-01,0.1620195728891689,-0.002669146743258466,0.0035351045652771695,0.16555467745444652,0.0008659578220182595
1989-01-01,0.11465746523979181,-0.036550614414855076,0.004881865465000246,0.11953933070479206,-0.03166874894985483
1989-02-01,-0.016441944089675253,-0.04169797521802643,0.009758426430822364,-0.006683517658852445,-0.03193954878720362
1989-03-01,0.10180179304083214,0.006789625650736042,0.014778225113938337,0.11658001815477004,0.02156785076467571
1989-04-01,0.08308209884974005,-0.01484760346663272,0.01607196921077847,0.09915406806051852,0.0012243657441448619
1989-05-01,-0.08683243809678398,-0.03534685267999471,0.024124514539376918,-0.06270792355740706,-0.011222338140617794
1989-06-01,-0.05290489828189182,-0.009341433934610954,0.019538585907376227,-0.033366312374515594,0.010197151972764829
1989-07-01,-0.002833665823571696,0.020037296467060983,-0.0002131839023773452,-0.0030468497259494853,0.019824112564684526
1989-08-01,-0.04944304467291616,-0.02675184526322827,0.01169426894245662,-0.037748775730459094,-0.01505757632077298
1989-09-01,0.057920066331442754,-0.009327476173771387,0.008148968315352167,0.06606903464679448,-0.0011785078584178876
1989-10-01,0.06217924050380619,0.014081453598000948,0.00440949349912767,0.0665887340029343,0.01849094709712773
1989-11-01,-0.00956436621436918,0.07197577102823782,0.006270802144228149,-0.0032935640701410307,0.07824657317246597
1989-12-01,0.057573585400729765,0.03765765680178568,0.0004253207691533589,0.05799890616988268,0.038082977570939036
1990-01-01,0.06865679351369902,0.0017571694576172803,0.001846864249426261,0.07050365776312528,0.0036040337070435413
1990-02-01,-0.07017003465996652,0.016205066076567576,0.0015433192667666518,-0.06862671539319898,0.017748385343335116
1990-03-01,-0.07437982209422955,-0.05866821050196247,0.007441562052876716,-0.06693826004135328,-0.0512266484490862
1990-04-01,-0.1018021149910262,-0.049064969135971026,0.010339899216816217,-0.09146221577420999,-0.038725069919154365
1990-05-01,-0.015777026281940998,-0.013965166619807512,0.001744717186085154,-0.014032309095855844,-0.012220449433723246
1990-06-01,-0.07953315352238377,-0.04636389979662425,0.005554690427374442,-0.07397846309500977,-0.04080920936924848
1990-07-01,0.1284689310885052,0.02853899307167662,-0.0005224945500965639,0.12794643653840954,0.028016498521578725
1990-08-01,0.45894974852887227,0.08509475738329009,-0.0037631235717392464,0.4551866249571326,0.08133163381155128
1990-09-01,0.25037340577012523,-0.0138003593161109,0.029144822599567632,0.2795182283696933,0.015344463283456733
1990-10-01,0.03158751053942854,-0.022284900080649983,0.011916730460867608,0.04350424100029571,-0.010368169619782819
1990-11-01,-0.08544781275410873,0.002596824940885867,0.0013214971885373572,-0.08412631556557137,0.003918322129424112
1990-12-01,-0.1568253552882024,-0.012600999760818077,0.0016397655000512934,-0.1551855897881511,-0.010961234260767228
1991-01-01,-0.1818264547574593,0.017592060202039406,0.011616367029487318,-0.17021008772797153,0.029208427231527168
1991-02-01,-0.18751107033340286,-0.05301788728390733,0.0280133374906133,-0.15949773284279,-0.025004549793294473
1991-03-01,-0.02382298059449628,-0.0013476905652440863,0.020098884324705857,-0.0037240962697904223,0.01875119375946177
1991-04-01,0.005227403435151601,-0.013745159038329291,0.03389912653585059,0.039126529971001744,0.020153967497520853
1991-05-01,0.0005212405643164608,-0.003998160023799713,0.030290503788335865,0.030811744352652326,0.026292343764536596
1991-06-01,-0.05461742761152877,0.027002898137850728,0.026138677104202035,-0.02847875050732629,0.05314157524205321
1991-07-01,0.0655011836612025,0.0026415777673216567,0.1956178532632893,0.2611190369244918,0.1982594310306105
1991-08-01,0.01889257111324305,-0.031439053399383354,0.009055920601992895,0.027948491715235946,-0.02238313279739046
1991-09-01,0.03625924896183719,-0.021474479564910887,-0.0004721435404042573,0.035787105421432486,-0.0219466231053147
1991-10-01,0.08011775176197355,0.02813184681031977,-0.0014022639948172433,0.07871548776715631,0.026729582815502084
1991-11-01,-0.050795776046106855,0.0041176365108848145,0.00018604867552118876,-0.050609727370585667,0.004303685186405559
