Date,log_oil_usd,log_gold_usd,log_usd_inr,log_oil_inr,log_gold_inr
1987-05-01,2.922085733385692,6.131726364524792,2.5389212380942388,5.4610069714799305,8.670647602619031
1987-06-01,2.937043277205311,6.108336056339242,2.5523160460172547,5.4893593232225655,8.660652102356497
1987-07-01,2.9887076586170265,6.110402471179496,2.5659181188299063,5.554625777446933,8.676320590009402
1987-08-01,2.9433857931817817,6.133723369681728,2.571481820542411,5.514867613724193,8.705205190224138
1987-09-01,2.907447358686419,6.132052235417629,2.564433839989851,5.471881198676271,8.69648607540748
1987-10-01,2.9317269435780786,6.14278981063172,2.5682439244109667,5.499970867989045,8.711033735042687
1987-11-01,2.8780742300857587,6.147549070140252,2.5628008973268597,5.440875127412618,8.710349967467112
1987-12-01,2.8361502037295256,6.186702329168483,2.559898160078352,5.396048363807878,8.746600489246834
1988-01-01,2.8183982582710754,6.1666355998730955,2.5679832122050916,5.386381470476167,8.734618812078187
1988-02-01,2.7555697170701863,6.091468240579053,2.5699368989725757,5.325506616042762,8.66140513955163
1988-03-01,2.689886230474539,6.094945798053506,2.563340371429774,5.253226601904313,8.65828616948328
1988-04-01,2.8094026953624978,6.112686108696808,2.5769995384449222,5.38640223380742,8.68968564714173
1988-05-01,2.7917784166329223,6.111622538101768,2.588943790170916,5.3807222068038385,8.700566328272684
1988-06-01,2.7434173449395014,6.1121987792524655,2.6236463307014777,5.367063675640979,8.735845109953942
1988-07-01,2.702032128776647,6.081373804516616,2.6447198387357167,5.346751967512364,8.726093643252334
1988-08-01,2.7006898466959175,6.066757531143414,2.654438431653561,5.355128278349478,8.721195962796974
1988-09-01,2.578700529074361,6.024560774597171,2.6734242491809805,5.252124778255341,8.697985023778152
1988-10-01,2.5185025992165158,6.008272498757349,2.6892071133007303,5.2077097125172465,8.69747961205808
1988-11-01,2.5664866367804233,6.040659391288174,2.7057809616581667,5.27226759843859,8.74644035294634
1988-12-01,2.7285062096695922,6.037990244544916,2.709316066223444,5.437822275893036,8.747306310768359
1989-01-01,2.843163674909384,6.0014396301300605,2.714197931688444,5.557361606597828,8.715637561818504
